"GORSKE OBÈINE";"Ostali nastanitveni objekti";"TUJI";81987;228022;78229;222698;84990;249252;98824;284921;110440;317243;134384;373851;145364;403858;194717;513819
"Bled";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";24651;52265;23314;51024;19321;40305;19955;38994;19291;37796;18876;37955;17640;34079;21796;42007
"Bled";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";189907;488215;183686;458206;201469;509285;213699;532762;240436;560600;250299;590536;275412;609896;309194;688067
"Bled";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;15587;29574;14596;27161;16938;31559
"Bled";"Hoteli in podobni nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;190361;424645;208803;436166;220501;462832
"Bled";"Kampi";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Bled";"Kampi";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Bled";"Ostali nastanitveni objekti";"DOMAÈI";2621;7743;2454;7202;1513;4056;1391;3456;1364;3850;z;z;z;z;z;z
"Bled";"Ostali nastanitveni objekti";"TUJI";6364;16074;6017;15601;10825;31836;12813;39056;17965;48815;z;z;z;z;z;z
"Bohinj";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";41354;125018;44879;136379;49894;140337;54815;142628;50975;136456;48151;125050;44045;111900;50952;127190
"Bohinj";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";63888;194719;52344;165377;54367;167934;63799;191704;69992;204570;71797;219133;71361;203326;88322;243581
"Bohinj";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Bohinj";"Hoteli in podobni nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Bohinj";"Kampi";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Bohinj";"Kampi";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Bohinj";"Ostali nastanitveni objekti";"DOMAÈI";27205;89534;28727;92615;30328;89918;34735;92191;31981;88666;31666;84060;30218;77900;31261;78262
"Bohinj";"Ostali nastanitveni objekti";"TUJI";21942;61234;19574;53828;20438;60271;22785;65840;24917;71763;28569;84281;28555;83144;34534;95521
"Bovec";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";25833;61038;27377;67930;25530;62617;30151;70860;27673;66292;18615;43775;11530;26113;17750;35572
"Bovec";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";53382;151769;47780;128354;46936;135166;54052;153325;52812;148575;56483;160054;49229;136455;62645;163318
"Bovec";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";11753;26962;11715;28990;12192;29180;13786;33410;12143;30430;5224;12881;2308;4232;2677;5311
"Bovec";"Hoteli in podobni nastanitveni objekti";"TUJI";16769;47120;13719;34848;13949;33796;14228;35145;13240;33274;14589;36511;9765;18896;11195;21963
"Bovec";"Kampi";"DOMAÈI";4767;11778;5500;14171;4833;11697;6315;14315;5934;14334;5610;13731;2946;7356;5172;11621
"Bovec";"Kampi";"TUJI";26194;83098;23774;71221;23749;79069;28060;90246;28347;86994;30269;95289;26623;84871;29783;89999
"Bovec";"Ostali nastanitveni objekti";"DOMAÈI";9313;22298;10162;24769;8505;21740;10050;23135;9596;21528;7781;17163;6276;14525;9901;18640
