"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Kanada";533;2029;499;1873;661;2289;512;1988;545;2150;528;2028;615;2243;538;1893
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Združene države (ZDA)";1727;5742;1626;5573;1532;7288;1533;4860;1775;7296;1914;6770;1707;4882;1958;7057
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Druge države in ozemlja Severne Amerika";179;864;200;1217;140;513;20;44;1;2;3;20;2;3;4;14
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"DRŽAVE - SKUPAJ";171714;616647;176447;639328;171098;618987;166652;611850;164567;599596;171138;606296;175936;611590;187343;634540
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"DOMAÈI";100276;383449;101518;392002;92258;352675;86523;338446;84869;317153;91121;314497;93585;314087;97654;323737
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"TUJI";71438;233198;74929;247326;78840;266312;80129;273404;79698;282443;80017;291799;82351;297503;89689;310803
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Avstrija";7374;24152;7813;25768;8451;27480;7852;24705;7514;23259;8039;24260;7816;22221;8861;23570
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Belgija";537;2702;624;3723;588;3526;554;3309;843;4961;1315;8535;1334;9433;1106;8136
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Bolgarija";1643;1958;2479;2723;1513;1905;1605;1936;1486;1781;1049;1665;1323;1810;1328;1867
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Bosna in Hercegovina";966;2475;783;2311;809;2124;1556;3943;1912;4646;1799;4659;2237;5546;2603;6488
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Ciper";-;-;1;1;-;-;1;1;1;3;5;10;-;-;2;5
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Èeška republika";1014;3050;1060;2958;812;2746;772;2136;849;2412;746;2360;691;2081;730;3092
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Èrna gora";45;119;76;213;213;675;207;657;256;859;304;1041;335;1144;357;1081
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Danska";558;3133;639;3744;728;4615;768;5691;818;4952;996;6851;1002;7276;945;6543
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Estonija";18;24;10;99;5;94;-;-;27;45;8;12;-;-;87;1569
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Finska";94;287;156;390;60;139;64;230;50;78;43;81;38;56;66;218
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Francija";624;1782;667;1484;607;1337;565;1561;726;2045;594;2050;686;2348;787;2842
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Grèija";34;44;45;56;31;57;99;219;318;890;73;159;58;87;46;91
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Hrvaška";15078;42963;12717;37807;11326;35639;10481;39568;10698;30561;11339;31604;13107;32529;13453;36427
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Irska";65;156;51;102;29;51;46;102;42;195;35;105;53;275;78;385
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Islandija";132;200;2;8;-;-;3;3;5;5;1;3;7;31;4;22
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Italija";26879;76534;30446;86940;28838;80636;30401;87583;27426;74126;23670;63640;23856;64205;26821;69782
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Latvija";8;17;18;21;6;6;53;53;1;5;12;25;9;50;46;143
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Litva";6;6;6;10;18;75;18;79;7;19;23;28;32;102;48;620
"Skupine nastanitvenih objektov - SKUPAJ";"Brežice";"Luksemburg";12;29;5;18;28;86;13;19;26;48;25;44;21;29;42;138
