"Prihodi in prenoèitve turistov po: SKUPINE NASTANITVENIH OBJEKTOV,"
"OBÈINE, DRŽAVE, LETO , MERITVE"

"Skupine nastanitvenih objektov - SKUPAJ"
" ";"SLOVENIJA"
" ";" ";"Turèija"
" ";" ";" ";"2008"
" ";" ";" ";"2014"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";41080
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";138683
" ";" ";" ";"2015"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";54702
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";184359
" ";" ";" ";"2016"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";67055
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";236466
" ";" ";"Japonska"
" ";" ";" ";"2008"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";39733
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";57093
" ";" ";" ";"2009"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";48182
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";64712
" ";" ";" ";"2010"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";40455
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";53761
" ";" ";" ";"2011"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";35321
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";50840
" ";" ";" ";"2012"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";41398
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";60278
" ";" ";" ";"2013"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";36437
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";53200
" ";" ";" ";"2014"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";40852
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";60342
" ";" ";" ";"2015"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";37218
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";55785
" ";" ";" ";"2016"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";29474
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";46347
" ";" ";"Kitajska (Ljudska republika)"
" ";" ";" ";"2008"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";4911
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";10159
" ";" ";" ";"2009"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";5638
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";11263
" ";" ";" ";"2010"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";8234
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";15477
" ";" ";" ";"2011"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";11050
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";21785
" ";" ";" ";"2012"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";15294
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";23530
" ";" ";" ";"2013"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";19801
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";29321
" ";" ";" ";"2014"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";24113
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";36502
" ";" ";" ";"2015"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";37796
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";54640
" ";" ";" ";"2016"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";45324
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";65038
" ";" ";"Koreja (Republika)"
" ";" ";" ";"2008"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";6386
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";8373
" ";" ";" ";"2009"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";5138
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";7426
