"Gornji Grad";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Gornji Grad";"Ostali nastanitveni objekti";...;14;79;73;...;14;79;73;...;14;79;73;...;14;79;73;...;15;75;67;...;15;74;67;...;16;70;69;...;13;61;61
"Hoèe - Slivnica";"Skupine nastanitvenih objektov - SKUPAJ";...;388;1648;1395;...;348;1300;948;...;285;1230;951;...;282;1219;947;...;271;1167;937;...;263;1165;913;...;251;1165;902;...;239;1027;788
"Hoèe - Slivnica";"Hoteli in podobni nastanitveni objekti";12;257;1114;972;10;216;753;511;10;183;655;534;9;179;641;525;9;178;639;521;9;173;649;502;8;155;633;479;8;153;609;457
"Hoèe - Slivnica";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Hoèe - Slivnica";"Ostali nastanitveni objekti";...;131;534;423;...;132;547;437;...;102;575;417;...;103;578;422;...;93;528;416;...;90;516;411;...;96;532;423;...;86;418;331
"Jesenice";"Skupine nastanitvenih objektov - SKUPAJ";...;23;117;115;...;34;185;183;...;33;181;179;...;29;164;161;...;36;208;206;...;37;217;211;...;83;375;371;...;84;364;362
"Jesenice";"Hoteli in podobni nastanitveni objekti";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7;43;43;-;-;-;-;-;-;-;-;-;-;-;-
"Jesenice";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;51;204;204;1;54;204;204
"Jesenice";"Ostali nastanitveni objekti";...;23;117;115;...;34;185;183;...;33;181;179;...;29;164;161;...;29;165;163;...;37;217;211;...;32;171;167;...;30;160;158
"Jezersko";"Skupine nastanitvenih objektov - SKUPAJ";...;92;337;331;...;101;357;351;...;92;333;305;...;107;371;343;...;93;328;310;...;116;414;401;...;129;474;459;...;149;566;541
"Jezersko";"Hoteli in podobni nastanitveni objekti";3;55;139;139;3;55;139;139;3;55;139;118;3;55;139;118;3;49;122;115;3;49;122;115;3;49;122;115;3;49;122;115
